longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-122.01,39.74,20.0,2332.0,518.0,1856.0,495.0,2.1746,58700.0
-122.01,39.21,52.0,1989.0,392.0,985.0,396.0,2.5556,75800.0
-122.01,39.21,50.0,1592.0,372.0,781.0,307.0,2.2679,69100.0
-122.01,39.21,39.0,1214.0,250.0,660.0,249.0,2.4559,75000.0
-122.01,38.44,12.0,2344.0,354.0,1035.0,321.0,4.9773,281200.0
-122.01,38.37,16.0,3996.0,550.0,1673.0,539.0,5.778,175700.0
-122.01,38.36,28.0,1967.0,315.0,734.0,291.0,4.9583,146200.0
-122.01,38.36,15.0,476.0,67.0,213.0,73.0,7.1053,315200.0
-122.01,38.36,15.0,1176.0,166.0,485.0,171.0,5.9441,228200.0
-122.01,38.35,18.0,4486.0,723.0,1600.0,697.0,3.8651,189700.0
-122.01,38.27,17.0,9089.0,1542.0,4758.0,1520.0,4.0619,126600.0
-122.01,38.26,12.0,4132.0,710.0,2087.0,633.0,4.5987,139700.0
-122.01,38.25,16.0,1081.0,181.0,792.0,184.0,4.6779,131300.0
-122.01,38.25,11.0,6550.0,1149.0,3570.0,1123.0,3.8583,137900.0
-122.01,37.99,28.0,1900.0,401.0,918.0,351.0,3.7841,144900.0
-122.01,37.98,34.0,1256.0,267.0,638.0,252.0,4.0507,161000.0
-122.01,37.98,29.0,2001.0,373.0,956.0,370.0,4.317,194000.0
-122.01,37.98,25.0,1476.0,336.0,777.0,297.0,3.5179,165500.0
-122.01,37.97,34.0,3259.0,498.0,1250.0,478.0,5.3794,206200.0
-122.01,37.97,32.0,3012.0,527.0,1288.0,512.0,3.6449,211500.0
-122.01,37.95,8.0,3866.0,539.0,1555.0,513.0,6.0901,298200.0
-122.01,37.94,26.0,1619.0,224.0,706.0,220.0,6.0704,268000.0
-122.01,37.94,23.0,3741.0,501.0,1339.0,499.0,6.7061,322300.0
-122.01,37.94,18.0,2077.0,298.0,937.0,292.0,6.3809,273600.0
-122.01,37.93,25.0,2652.0,335.0,1062.0,334.0,7.5898,330200.0
-122.01,37.92,18.0,2808.0,337.0,1038.0,337.0,8.3956,353600.0
-122.01,37.92,16.0,2638.0,345.0,1055.0,334.0,8.1163,365800.0
-122.01,37.91,21.0,10093.0,1269.0,3645.0,1219.0,7.6877,367700.0
-122.01,37.83,30.0,3917.0,549.0,1330.0,544.0,6.5617,386600.0
-122.01,37.59,2.0,838.0,295.0,240.0,149.0,2.875,237500.0
-122.01,37.57,14.0,16199.0,2993.0,8117.0,2847.0,5.8322,281800.0
-122.01,37.56,6.0,3028.0,778.0,1531.0,736.0,4.4259,158000.0
-122.01,37.56,24.0,2563.0,485.0,1174.0,501.0,3.8179,216100.0
-122.01,37.55,34.0,2791.0,495.0,1276.0,468.0,4.9167,256300.0
-122.01,37.55,26.0,2068.0,532.0,1434.0,495.0,3.3008,224200.0
-122.01,37.54,32.0,2572.0,406.0,1128.0,395.0,5.0,287600.0
-122.01,37.53,27.0,1890.0,303.0,889.0,314.0,5.7057,287600.0
-122.01,37.4,14.0,4841.0,1130.0,813.0,517.0,3.7614,137500.0
-122.01,37.39,36.0,1976.0,361.0,1348.0,371.0,5.6447,252600.0
-122.01,37.39,26.0,2500.0,962.0,2374.0,879.0,3.5586,222200.0
-122.01,37.39,16.0,3015.0,829.0,1769.0,807.0,4.0068,249500.0
-122.01,37.38,32.0,726.0,204.0,538.0,203.0,4.505,230400.0
-122.01,37.37,25.0,2213.0,360.0,1066.0,390.0,7.2165,360900.0
-122.01,37.37,11.0,2559.0,694.0,1309.0,668.0,4.1847,167300.0
-122.01,37.36,25.0,2796.0,429.0,1267.0,426.0,6.6329,349000.0
-122.01,37.36,21.0,2483.0,396.0,1194.0,424.0,7.1273,346300.0
-122.01,37.36,16.0,1105.0,354.0,499.0,324.0,4.2061,253600.0
-122.01,37.35,33.0,2517.0,496.0,1158.0,443.0,5.0785,289500.0
-122.01,37.35,16.0,3716.0,916.0,1551.0,759.0,4.5,323600.0
-122.01,37.34,31.0,3080.0,526.0,1493.0,582.0,6.3052,344200.0
-122.01,37.32,32.0,3108.0,613.0,1577.0,603.0,4.6613,284000.0
-122.01,37.31,26.0,1391.0,241.0,700.0,236.0,6.6766,332700.0
-122.01,37.29,31.0,3136.0,431.0,1190.0,412.0,7.5,500001.0
-122.01,37.28,22.0,2038.0,260.0,773.0,281.0,9.1569,500001.0
-122.01,37.27,28.0,3825.0,473.0,1415.0,480.0,10.675,500001.0
-122.01,37.27,27.0,3340.0,451.0,1220.0,447.0,8.8178,500001.0
-122.01,37.26,14.0,2561.0,404.0,1172.0,378.0,7.6107,500001.0
-122.01,37.25,31.0,1574.0,193.0,551.0,191.0,10.2311,500001.0
-122.01,37.18,37.0,3852.0,652.0,1534.0,567.0,5.8596,318700.0
-122.01,37.06,19.0,4113.0,767.0,2006.0,732.0,5.1121,308100.0
