longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-118.01,35.12,15.0,1926.0,361.0,917.0,316.0,3.3889,68500.0
-118.01,34.55,2.0,2701.0,530.0,1368.0,430.0,4.071,137400.0
-118.01,34.16,47.0,1745.0,270.0,753.0,275.0,5.532,318500.0
-118.01,34.15,52.0,2234.0,472.0,986.0,439.0,3.9125,265500.0
-118.01,34.15,32.0,6597.0,1579.0,3689.0,1459.0,3.2377,184100.0
-118.01,34.13,38.0,3374.0,671.0,1906.0,640.0,4.0729,212300.0
-118.01,34.13,36.0,1332.0,217.0,648.0,203.0,4.7159,365900.0
-118.01,34.12,43.0,1185.0,207.0,657.0,198.0,4.5491,214800.0
-118.01,34.12,32.0,1937.0,332.0,922.0,340.0,3.94,278400.0
-118.01,34.11,43.0,1858.0,345.0,1054.0,329.0,3.5625,211600.0
-118.01,34.11,36.0,1722.0,320.0,794.0,322.0,4.2132,212200.0
-118.01,34.11,32.0,1978.0,536.0,826.0,470.0,2.5114,212200.0
-118.01,34.1,35.0,2120.0,412.0,1375.0,405.0,3.4609,166300.0
-118.01,34.1,27.0,2424.0,542.0,1713.0,557.0,3.8085,181400.0
-118.01,34.09,32.0,1613.0,361.0,1283.0,404.0,3.1944,181700.0
-118.01,34.08,35.0,1852.0,358.0,1414.0,347.0,4.275,173600.0
-118.01,34.07,24.0,5684.0,1485.0,6626.0,1481.0,2.2559,166800.0
-118.01,34.07,22.0,6311.0,1572.0,6666.0,1456.0,2.9334,182600.0
-118.01,34.06,26.0,557.0,153.0,455.0,196.0,2.7721,155400.0
-118.01,34.05,37.0,682.0,172.0,813.0,173.0,3.8125,138000.0
-118.01,34.05,31.0,1135.0,355.0,1717.0,368.0,2.1602,161700.0
-118.01,33.97,36.0,1451.0,224.0,608.0,246.0,6.0648,290800.0
-118.01,33.96,36.0,1805.0,288.0,882.0,308.0,5.3054,273500.0
-118.01,33.95,36.0,1579.0,290.0,816.0,276.0,4.4318,181100.0
-118.01,33.95,35.0,1755.0,322.0,774.0,290.0,5.0861,296700.0
-118.01,33.94,36.0,1921.0,329.0,969.0,327.0,4.9191,188700.0
-118.01,33.94,35.0,1323.0,235.0,807.0,247.0,4.2708,174800.0
-118.01,33.93,34.0,2424.0,468.0,1293.0,444.0,3.275,189900.0
-118.01,33.93,31.0,3395.0,742.0,1886.0,737.0,4.4118,174400.0
-118.01,33.92,34.0,4039.0,694.0,2269.0,663.0,5.2305,205100.0
-118.01,33.91,32.0,2722.0,571.0,2541.0,462.0,4.2305,221400.0
-118.01,33.9,36.0,1382.0,257.0,685.0,255.0,5.125,211700.0
-118.01,33.9,26.0,2968.0,674.0,1655.0,628.0,4.6094,201000.0
-118.01,33.89,36.0,1589.0,265.0,804.0,272.0,4.6354,202900.0
-118.01,33.89,34.0,1653.0,292.0,1003.0,310.0,4.6,203400.0
-118.01,33.89,33.0,2046.0,327.0,1018.0,320.0,4.2292,212800.0
-118.01,33.87,25.0,6348.0,1615.0,4188.0,1497.0,3.139,185700.0
-118.01,33.86,29.0,2307.0,452.0,1218.0,402.0,3.4306,194200.0
-118.01,33.85,29.0,3061.0,612.0,2396.0,640.0,4.6326,195200.0
-118.01,33.84,28.0,4097.0,838.0,2112.0,803.0,4.5,202100.0
-118.01,33.83,29.0,3963.0,772.0,2104.0,743.0,4.9803,208600.0
-118.01,33.83,24.0,4639.0,1374.0,3093.0,1257.0,2.5577,202300.0
-118.01,33.83,23.0,1086.0,268.0,825.0,250.0,2.4609,219600.0
-118.01,33.82,31.0,1960.0,380.0,1356.0,356.0,4.0625,225900.0
-118.01,33.82,10.0,3897.0,893.0,1992.0,693.0,4.1591,192300.0
-118.01,33.81,25.0,1831.0,345.0,809.0,339.0,4.5179,177100.0
-118.01,33.81,18.0,5238.0,1083.0,3032.0,1065.0,4.4583,190100.0
-118.01,33.8,16.0,4021.0,701.0,1488.0,650.0,5.32,219500.0
-118.01,33.79,30.0,2460.0,403.0,1277.0,395.0,5.4372,223200.0
-118.01,33.79,23.0,2663.0,430.0,1499.0,403.0,5.7837,258000.0
-118.01,33.78,26.0,2343.0,377.0,1166.0,373.0,6.0,233100.0
-118.01,33.78,19.0,2648.0,478.0,1160.0,452.0,5.9357,207400.0
-118.01,33.77,33.0,1387.0,238.0,890.0,264.0,5.422,204100.0
-118.01,33.77,32.0,1771.0,296.0,995.0,272.0,5.8362,217500.0
-118.01,33.76,35.0,2072.0,349.0,1249.0,317.0,3.9855,191900.0
-118.01,33.76,26.0,2141.0,597.0,2038.0,585.0,2.2981,177700.0
-118.01,33.75,30.0,3380.0,722.0,2269.0,652.0,4.525,186000.0
-118.01,33.74,25.0,8110.0,1264.0,3613.0,1232.0,6.0609,264900.0
-118.01,33.73,23.0,4095.0,578.0,1766.0,589.0,6.7418,302500.0
-118.01,33.71,18.0,6565.0,1357.0,3079.0,1248.0,4.7515,295600.0
-118.01,33.7,24.0,3856.0,567.0,1741.0,588.0,7.248,302700.0
-118.01,33.69,3.0,945.0,115.0,337.0,123.0,11.5199,500001.0
-118.01,33.67,16.0,3581.0,780.0,1644.0,774.0,5.041,397600.0
